いちだい	一代	Lifetime	4	vocabulary	いちだい, 一: いち: on, 代: だい: on
きじ	生地	Material	8	vocabulary	きじ, 生: き: kun, 地: じ: on
たいよう	太陽	Sun	12	vocabulary	たいよう, 太: たい: on, 陽: よう: on
おくる	送る	To Send	9	vocabulary	おくる, 送: おく: kun
どう	道	Road	8	kanji	どう:on, みち:kun
ためす	試す	To Attempt	11	vocabulary	ためす, 試: ため: kun
ほうこう	方向	Direction	6	vocabulary	ほうこう, 方: ほう: on, 向: こう: on
へんじ	返事	Reply	9	vocabulary	へんじ, 返: へん: on, 事: じ: on
じょし	女子	Girl	2	vocabulary	じょし, 女: じょ: on, 子: し: on
だいじ	大事	Important	9	vocabulary	だいじ, 大: だい: on, 事: じ: on
しよう	使用	Use	9	vocabulary	しよう, 使: し: on, 用: よう: on
つかう	使う	To Use	9	vocabulary	つかう, 使: つか: kun
にがい	苦い	Bitter Tasting	9	vocabulary	にがい, 苦: にが: kun
ものがたり	物語	Tale	11	vocabulary	ものがたり, 物: もの: kun, 語: がた: kun
のりば	乗り場	Bus Stop	11	vocabulary	のりば, 乗: の: kun, 場: ば: kun
いったい	一体	The Heck	7	vocabulary	いったい, 一: いっ: on, 体: たい: on
ちかみち	近道	Shortcut	10	vocabulary	ちかみち, 近: ちか: kun, 道: みち: kun
たもつ	保つ	To Preserve	9	vocabulary	たもつ, 保: たも: kun
しんか	進化	Evolution	10	vocabulary	しんか, 進: しん: on, 化: か: on
くるしむ	苦しむ	To Suffer	11	vocabulary	くるしむ, 苦: く: on
かわ	皮	Skin	5	vocabulary	かわ, 皮: かわ: kun
くばる	配る	To Distribute	10	vocabulary	くばる, 配: くば: kun
あいて	相手	Partner	9	vocabulary	あいて, 相: あい: kun, 手: て: kun
こう	考	Think	5	kanji	こう:on, かんが:kun
つち	土	Soil	2	vocabulary	つち, 土: つち: kun
つく	付く	To Be Attached	9	vocabulary	つく, 付: つ: kun
つう	通	Pass Through	7	kanji	つう:on, とお:kun, かよ:kun
きよう	器用	Dextrous	13	vocabulary	きよう, 器: き: on, 用: よう: on
げん	言	Say	5	kanji	げん:on, ごん:on, い:kun, こと:kun
しゅう	終	End	10	kanji	しゅう:on, おわ:kun, お:kun
いき	息	Breath	12	vocabulary	いき, 息: いき: kun
Unavailable	元	Origin	3	radical	Unavailable
ちゅうもん	注文	Order	11	vocabulary	ちゅうもん, 注: ちゅう: on, 文: もん: on
みつける	見付ける	To Find	9	vocabulary	みつける, 見: み: kun, 付: つ: kun
ねんじ	年次	Annual	6	vocabulary	ねんじ, 年: ねん: on, 次: じ: on
とう	投	Throw	8	kanji	とう:on, な:kun
いがい	以外	Other Than	7	vocabulary	いがい, 以: い: on, 外: がい: on
きょういく	教育	Education	11	vocabulary	きょういく, 教: きょう: on, 育: いく: on
あらわす	表す	To Express	9	vocabulary	あらわす, 表: あらわ: kun
ほか	他	Other	4	vocabulary	ほか, 他: ほか: kun
しゅっけつ	出血	Bleeding	6	vocabulary	しゅっけつ, 出: しゅっ: on, 血: けつ: on
つごう	都合	At Your Convenience	12	vocabulary	つごう, 都: つ: on, 合: ごう: on
