"あいて",相手,"Partner",vocabulary
"こう",考,"Think",kanji
"つち",土,"Soil",vocabulary
"どりょく",努力,"Great Effort",vocabulary
"てんそう",転送,"Transfer",vocabulary
"りそく",利息,"Interest",vocabulary
"たからくじ",宝くじ,"Lottery",vocabulary
"きょうゆう",共有,"Shared",vocabulary
"たりる",足りる,"To Be Enough",vocabulary
"ち",地,"Earth",vocabulary
"うしなう",失う,"To Lose",vocabulary
"いちだい",一代,"Lifetime",vocabulary
"いがい",以外,"Other Than",vocabulary
"つたえる",伝える,"To Transmit",vocabulary
"おくじょう",屋上,"Rooftop",vocabulary
"とおる",通る,"To Pass",vocabulary
"しゅつ",出,"Exit",kanji
"こうつう",交通,"Traffic",vocabulary
"よう",用,"Task",vocabulary
"せんそう",戦争,"War",vocabulary
"かいそう",回想,"Retrospection",vocabulary
"ちょっこう",直行,"Nonstop",vocabulary
"ちゅうし",中止,"Suspension",vocabulary
"しゅうりょう",終了,"End",vocabulary
"すすむ",進む,"To Advance",vocabulary
"でんぱ",電波,"Reception",vocabulary
"しょう",勝,"Win",kanji
"たすける",助ける,"To Help",vocabulary
"まける",負ける,"To Lose",vocabulary
"ねんじゅう",年中,"Year Round",vocabulary
"けつ",欠,"Lack",kanji
"ほか",他,"Other",vocabulary
"しゅっけつ",出血,"Bleeding",vocabulary
"まず",先ず,"First Of All",vocabulary
"みみうち",耳打ち,"Whisper In Ear",vocabulary
"しゅご",主語,"Subject",vocabulary
"あたりまえ",当たり前,"Natural",vocabulary
"しつ",失,"Fault",kanji
"うつわ",器,"Container",vocabulary
"しょほ",初歩,"Basics",vocabulary
"ねんない",年内,"Within A Year",vocabulary
"うむ",生む,"To Give Birth",vocabulary
"なま",生,"Fresh",vocabulary
"せいよう",西洋,"The West",vocabulary
"あたま",頭,"Head",kanji
"こんぽん",根本,"Root",vocabulary
"であう",出会う,"To Meet By Chance",vocabulary
"せんせい",先生,"Teacher",vocabulary
Unavailable,元,"Origin",radical
"ふるい",古い,"Old",vocabulary
"じんせい",人生,"One's Life",vocabulary
"いぜん",以前,"Previously",vocabulary
Unavailable,免,"Excuse",radical
"にんずう",人数,"The Number Of People",vocabulary
"つける",点ける,"To Turn On",vocabulary
"たいした",大した,"Great",vocabulary
"さきまわり",先回り,"Arriving Ahead",vocabulary
"みあたる",見当たる,"To Be Found",vocabulary
"こころみる",試みる,"To Try",vocabulary
"たにん",他人,"Another Person",vocabulary
"ち",知,"Know",kanji
"きづく",気付く,"To Realize",vocabulary
"じっけん",実験,"Experiment",vocabulary
"そう",相,"Mutual",kanji
"ささえる",支える,"To Support",vocabulary
"きゅうめい",究明,"Investigation",vocabulary
"ろじ",路地,"Alley",vocabulary
"きんじつ",近日,"Soon",vocabulary
"かよう",通う,"To Commute",vocabulary
"はこぶ",運ぶ,"To Carry",vocabulary
"まもなく",間もなく,"Soon",vocabulary
"さとごころ",里心,"Homesick",vocabulary
"きょう",教,"Teach",kanji
"しゅじん",主人,"Head Of Household",vocabulary
"おもて",表,"Front",vocabulary
"ほうこう",方向,"Direction",vocabulary
"とう",刀,"Sword",kanji
"うつる",写る,"To Be Photographed",vocabulary
"けっしん",決心,"Determination",vocabulary
"かぞえる",数える,"To Count",vocabulary
"みょうじ",名字,"Surname",vocabulary
"ゆう",由,"Reason",kanji
"すべて",全て,"All",vocabulary
"ちゅうい",注意,"Caution",vocabulary
"かっき",活気,"Energy",vocabulary
"さす",指す,"To Point",vocabulary
"ほうそうする",放送する,"To Broadcast",vocabulary
"むく",向く,"To Face",vocabulary
"おおきく",大きく,"In A Big Way",vocabulary
"うつる",映る,"To Be Reflected",vocabulary
"ころす",殺す,"To Kill",vocabulary
"りょうきん",料金,"Fee",vocabulary
"のぼる",登る,"To Climb",vocabulary
"あう",合う,"To Suit",vocabulary
"あく",開く,"To Open",vocabulary
"しょうか",消化,"Digestion",vocabulary
"たび",旅,"Trip",vocabulary
"ならう",習う,"To Learn",vocabulary
"しんこう",進行,"Advance",vocabulary
"しゅうきん",集金,"Collecting Money",vocabulary
"せんろ",線路,"Railroad Track",vocabulary
"よむ",読む,"To Read",vocabulary
"よみかた",読み方,"Reading",vocabulary
"がいらいご",外来語,"Foreign Word",vocabulary
Unavailable,ｲ,"Leader",radical
Unavailable,耂,"Coffin",radical
Unavailable,ヨ,"Wolverine",radical
Unavailable,自,"Self",radical
Unavailable,西,"West",radical
Unavailable,厂,"Cliff",radical
Unavailable,青,"Blue",radical
Unavailable,冋,"Mustache",radical
Unavailable,里,"Village",radical
Unavailable,主,"Master",radical
"くう",空,"Sky",kanji
"みぎて",右手,"Right Hand",vocabulary
"け",毛,"Fur",vocabulary
"こおり",氷,"Ice",vocabulary
"はつか",二十日,"Twentieth Day",vocabulary
