"ばあい",場合,"Case",vocabulary
"またせる",待たせる,"To Make Someone Wait",vocabulary
"きもの",着物,"Kimono",vocabulary
"したぎ",下着,"Underwear",vocabulary
"みずぎ",水着,"Swimsuit",vocabulary
"まにあう",間に合う,"To Be In Time For",vocabulary
"しりあい",知り合い,"Acquaintance",vocabulary
"まちぼうけ",待ちぼうけ,"Stood Up",vocabulary
"けしごむ",消しゴム,"Eraser",vocabulary
"わるぎ",悪気,"Evil Intent",vocabulary
"やまのぼり",山登り,"Mountain Climbing",vocabulary
"りゅうこうご",流行語,"Popular Phrase",vocabulary
"りゅうこうか",流行歌,"Popular Song",vocabulary
"れいがい",例外,"Exception",vocabulary
"いちれい",一例,"Instance",vocabulary
"たとえば",例えば,"For Example",vocabulary
"れいぶん",例文,"Example Sentence",vocabulary
"あくれい",悪例,"Bad Example",vocabulary
"きょうかい",協会,"Union",vocabulary
"きょうりょく",協力,"Cooperation",vocabulary
"まいる",参る,"To Come",vocabulary
"いっしゅう",一周,"One Time Around",vocabulary
"しゅうい",周囲,"Perimeter",vocabulary
"しゅうねん",周年,"Anniversary",vocabulary
"かこむ",囲む,"To Surround",vocabulary
"ふんいき",雰囲気,"Atmosphere",vocabulary
"かたい",固い,"Hard",vocabulary
"がんこ",頑固,"Stubborn",vocabulary
"きほん",基本,"Foundation",vocabulary
"しき",四季,"The Four Seasons",vocabulary
"かんりょう",完了,"Completion",vocabulary
"かんぜん",完全,"Complete",vocabulary
"かんせい",完成,"Completion",vocabulary
"ねんがん",念願,"Heart's Desire",vocabulary
"ざんねん",残念,"Too Bad",vocabulary
"じょせい",女性,"Female",vocabulary
"せいびょう",性病,"Sexually Transmitted Disease",vocabulary
"だんせい",男性,"Male",vocabulary
"わざ",技,"Technique",vocabulary
"ぎのう",技能,"Skill",vocabulary
"とくぎ",特技,"Specialty",vocabulary
"おる",折る,"To Fold",vocabulary
"せっかく",折角,"With Trouble",vocabulary
"こっせつ",骨折,"Broken Bone",vocabulary
"しつぼう",失望,"Disappointment",vocabulary
"のぞみ",望み,"Wish",vocabulary
"のぞむ",望む,"To Wish",vocabulary
"がんぼう",願望,"Desire",vocabulary
"もくざい",木材,"Wood",vocabulary
"ざいりょう",材料,"Ingredients",vocabulary
"ざいもく",材木,"Lumber",vocabulary
"たば",束,"Bundle",vocabulary
"やくそく",約束,"Promise",vocabulary
"まつ",松,"Pine",vocabulary
"まつば",松葉,"Pine Needle",vocabulary
"じんかく",人格,"Character",vocabulary
"ごうかくする",合格する,"To Pass A Test",vocabulary
"せいかく",性格,"Personality",vocabulary
"かっこう",格好,"Shape",vocabulary
"こっかく",骨格,"Skeleton",vocabulary
"のこり",残り,"Remainder",vocabulary
"のこる",残る,"To Remain Behind",vocabulary
"ざんぎょう",残業,"Overtime",vocabulary
"りょうり",料理,"Cooking",vocabulary
"てき",〜的,"Al",vocabulary
"にほんてき",日本的,"Very Japanese",vocabulary
"もくてき",目的,"Purpose",vocabulary
"よやく",予約,"Reservation",vocabulary
"やく",約,"About",vocabulary
"さいのう",才能,"Talent",vocabulary
"のうりょく",能力,"Ability",vocabulary
"げいのうかい",芸能界,"Showbusiness",vocabulary
"げいにん",芸人,"Comedian",vocabulary
"げいしゃ",芸者,"Geisha",vocabulary
"げいじゅつ",芸術,"Art",vocabulary
"びじゅつ",美術,"Fine Art",vocabulary
"ほね",骨,"Bone",vocabulary
"おちつく",落ち着く,"To Calm Down",vocabulary
"しょうかする",消化する,"To Digest",vocabulary
"きえる",消える,"To Disappear",vocabulary
"きもちわるい",気持ち悪い,"Bad Feeling",vocabulary
"ながれる",流れる,"To Stream",vocabulary
"うごかす",動かす,"To Move Something",vocabulary
"つける",着ける,"To Put On",vocabulary
"べんきょうする",勉強する,"To Study",vocabulary
"りょこうする",旅行する,"To Travel",vocabulary
"あたためる",温める,"To Warm Up",vocabulary
"おこす",起こす,"To Wake Someone Up",vocabulary
"りょこうしゃ",旅行者,"Traveler",vocabulary
"わるくち",悪口,"Verbal Abuse",vocabulary
"りょうこう",良好,"Good",vocabulary
"じどう",自動,"Automatic",vocabulary
"そつぎょう",卒業,"Graduation",vocabulary
"きぼう",希望,"Hope",vocabulary
"だきょう",妥協,"Compromise",vocabulary
"しょうかふりょう",消化不良,"Indigestion",vocabulary
"きたいする",期待する,"To Expect",vocabulary
"かいてんずし",回転ずし,"Rotating Sushi",vocabulary
"かいてんする",回転する,"To Rotate",vocabulary
"しあい",試合,"Game",vocabulary
"あわせる",合わせる,"To Join Together",vocabulary
"せい",性,"Gender",vocabulary
"うごき",動き,"Movement",vocabulary
"まわり",周り,"Circumference",vocabulary
"ふかさ",深さ,"Depth",vocabulary
"しゅうき",周期,"Cycle",vocabulary
"りせい",理性,"Reason",vocabulary
"まちあい",待合,"Waiting Room",vocabulary
"ことばつき",言葉つき,"Speech",vocabulary
"ぐあい",具合,"Condition",vocabulary
"いとてき",意図的,"Intentional",vocabulary
"きんだいてき",近代的,"Contemporary ",vocabulary
"いじわる",意地悪,"Malicious",vocabulary
"あいず",合図,"Signal",vocabulary
"ぶんかさい",文化祭,"School Festival",vocabulary
"ほんのう",本能,"Instinct",vocabulary
"うんどうかい",運動会,"Sports Day",vocabulary
"にんじん",人参,"Carrot",vocabulary
