"あいて",相手,"Partner",vocabulary
"かず",数,"Number",vocabulary
"つち",土,"Soil",vocabulary
"しゅご",主語,"Subject",vocabulary
"あらわす",表す,"To Express",vocabulary
"きょうゆう",共有,"Shared",vocabulary
"ちょうし",調子,"Condition",vocabulary
"うしなう",失う,"To Lose",vocabulary
"いちだい",一代,"Lifetime",vocabulary
"いがい",以外,"Other Than",vocabulary
"し",氏,"Family Name",kanji
"みおくる",見送る,"To See Off",vocabulary
"こう",考,"Think",kanji
"おやぶん",親分,"Boss",vocabulary
"はじめに",始めに,"In The Beginning",vocabulary
"ぶしゅ",部首,"Radical",vocabulary
"じょ",助,"Help",kanji
"てん",転,"Revolve",kanji
"ちゅうし",中止,"Suspension",vocabulary
"したく",支度,"Preparation",vocabulary
"しゅうりょう",終了,"End",vocabulary
"しょう",勝,"Win",kanji
"たすける",助ける,"To Help",vocabulary
"ねんじゅう",年中,"Year Round",vocabulary
"けつ",欠,"Lack",kanji
"ほか",他,"Other",vocabulary
"しゅっけつ",出血,"Bleeding",vocabulary
"こうつう",交通,"Traffic",vocabulary
"まず",先ず,"First Of All",vocabulary
"さんすう",算数,"Arithmetic",vocabulary
"てんそう",転送,"Transfer",vocabulary
"あたりまえ",当たり前,"Natural",vocabulary
"しつ",失,"Fault",kanji
"ねんない",年内,"Within A Year",vocabulary
"とおる",通る,"To Pass",vocabulary
"なま",生,"Fresh",vocabulary
"ねっしん",熱心,"Enthusiasm",vocabulary
"であう",出会う,"To Meet By Chance",vocabulary
"せんせい",先生,"Teacher",vocabulary
Unavailable,元,"Origin",radical
"ふるい",古い,"Old",vocabulary
"じんせい",人生,"One's Life",vocabulary
"いぜん",以前,"Previously",vocabulary
"つごう",都合,"At Your Convenience",vocabulary
"たからくじ",宝くじ,"Lottery",vocabulary
"たりる",足りる,"To Be Enough",vocabulary
"つける",点ける,"To Turn On",vocabulary
"たいした",大した,"Great",vocabulary
"ち",地,"Earth",vocabulary
"よう",用,"Task",vocabulary
"さきまわり",先回り,"Arriving Ahead",vocabulary
"みあたる",見当たる,"To Be Found",vocabulary
"まける",負ける,"To Lose",vocabulary
"たにん",他人,"Another Person",vocabulary
"ち",知,"Know",kanji
"つたえる",伝える,"To Transmit",vocabulary
"きづく",気付く,"To Realize",vocabulary
"じっけん",実験,"Experiment",vocabulary
"おくじょう",屋上,"Rooftop",vocabulary
"あらた",新た,"New",vocabulary
"ささえる",支える,"To Support",vocabulary
"ろじ",路地,"Alley",vocabulary
"しゅつ",出,"Exit",kanji
"かよう",通う,"To Commute",vocabulary
"はこぶ",運ぶ,"To Carry",vocabulary
"まもなく",間もなく,"Soon",vocabulary
"さとごころ",里心,"Homesick",vocabulary
"きょう",教,"Teach",kanji
"みみうち",耳打ち,"Whisper In Ear",vocabulary
"ほうこう",方向,"Direction",vocabulary
"とう",刀,"Sword",kanji
"うつる",写る,"To Be Photographed",vocabulary
"けっしん",決心,"Determination",vocabulary
"かぞえる",数える,"To Count",vocabulary
"みょうじ",名字,"Surname",vocabulary
"ゆう",由,"Reason",kanji
"ちゅうい",注意,"Caution",vocabulary
"せんそう",戦争,"War",vocabulary
"ちょっこう",直行,"Nonstop",vocabulary
"かっき",活気,"Energy",vocabulary
"さす",指す,"To Point",vocabulary
"ほうそうする",放送する,"To Broadcast",vocabulary
"すすむ",進む,"To Advance",vocabulary
"むく",向く,"To Face",vocabulary
"でんぱ",電波,"Reception",vocabulary
"おおきく",大きく,"In A Big Way",vocabulary
"こころみる",試みる,"To Try",vocabulary
"おもて",表,"Front",vocabulary
"かもく",科目,"Subject",vocabulary
"おく",億,"Hundred Million",vocabulary
"きよう",器用,"Dextrous",vocabulary
"ねつ",熱,"Fever",vocabulary
Unavailable,戈,"Drunkard",radical
"しんこう",進行,"Advance",vocabulary
"しゅうきん",集金,"Collecting Money",vocabulary
"せんろ",線路,"Railroad Track",vocabulary
"うた",歌,"Song",vocabulary
"よむ",読む,"To Read",vocabulary
"よみかた",読み方,"Reading",vocabulary
"がいらいご",外来語,"Foreign Word",vocabulary
"かいし",開始,"Start",vocabulary
"ちば",千葉,"Chiba",vocabulary
"やむ",病む,"To Be Sick",vocabulary
"けさ",今朝,"This Morning",vocabulary
Unavailable,trash,"Trash",radical
"ばんごうふだ",番号札,"Numbered Tag",vocabulary
Unavailable,耂,"Coffin",radical
Unavailable,ヨ,"Wolverine",radical
Unavailable,自,"Self",radical
Unavailable,西,"West",radical
Unavailable,青,"Blue",radical
Unavailable,冋,"Mustache",radical
Unavailable,里,"Village",radical
"くう",空,"Sky",kanji
"みぎて",右手,"Right Hand",vocabulary
"こおり",氷,"Ice",vocabulary
"はつか",二十日,"Twentieth Day",vocabulary
