Unavailable,trash,"Trash",radical
Unavailable,戈,"Drunkard",radical
"あらた",新た,"New",vocabulary
"あらわす",表す,"To Express",vocabulary
"うた",歌,"Song",vocabulary
"おく",億,"Hundred Million",vocabulary
"おやぶん",親分,"Boss",vocabulary
"かいし",開始,"Start",vocabulary
"かず",数,"Number",vocabulary
"かもく",科目,"Subject",vocabulary
"きよう",器用,"Dextrous",vocabulary
"けさ",今朝,"This Morning",vocabulary
"さんすう",算数,"Arithmetic",vocabulary
"したく",支度,"Preparation",vocabulary
"じょ",助,"Help",kanji
"し",氏,"Family Name",kanji
"ちば",千葉,"Chiba",vocabulary
"ちょうし",調子,"Condition",vocabulary
"つごう",都合,"At Your Convenience",vocabulary
"てん",転,"Revolve",kanji
"ねっしん",熱心,"Enthusiasm",vocabulary
"ねつ",熱,"Fever",vocabulary
"はじめに",始めに,"In The Beginning",vocabulary
"ばんごうふだ",番号札,"Numbered Tag",vocabulary
"ぶしゅ",部首,"Radical",vocabulary
"みおくる",見送る,"To See Off",vocabulary
"やむ",病む,"To Be Sick",vocabulary
