いちだい	一代	Lifetime	vocabulary	いちだい, 一: いち: on, 代: だい: on
きじ	生地	Material	vocabulary	きじ, 生: き: kun, 地: じ: on
とう	投	Throw	kanji	とう:on, な:kun
たいよう	太陽	Sun	vocabulary	たいよう, 太: たい: on, 陽: よう: on
おくる	送る	To Send	vocabulary	おくる, 送: おく: kun
どう	道	Road	kanji	どう:on, みち:kun
ためす	試す	To Attempt	vocabulary	ためす, 試: ため: kun
ほうこう	方向	Direction	vocabulary	ほうこう, 方: ほう: on, 向: こう: on
つごう	都合	At Your Convenience	vocabulary	つごう, 都: つ: on, 合: ごう: on
へんじ	返事	Reply	vocabulary	へんじ, 返: へん: on, 事: じ: on
あらた	新た	New	vocabulary	あらた, 新: あら: kun
しよう	使用	Use	vocabulary	しよう, 使: し: on, 用: よう: on
つかう	使う	To Use	vocabulary	つかう, 使: つか: kun
にがい	苦い	Bitter Tasting	vocabulary	にがい, 苦: にが: kun
ものがたり	物語	Tale	vocabulary	ものがたり, 物: もの: kun, 語: がた: kun
のりば	乗り場	Bus Stop	vocabulary	のりば, 乗: の: kun, 場: ば: kun
いったい	一体	The Heck	vocabulary	いったい, 一: いっ: on, 体: たい: on
ちかみち	近道	Shortcut	vocabulary	ちかみち, 近: ちか: kun, 道: みち: kun
たもつ	保つ	To Preserve	vocabulary	たもつ, 保: たも: kun
しんか	進化	Evolution	vocabulary	しんか, 進: しん: on, 化: か: on
くるしむ	苦しむ	To Suffer	vocabulary	くるしむ, 苦: く: on
くばる	配る	To Distribute	vocabulary	くばる, 配: くば: kun
あいて	相手	Partner	vocabulary	あいて, 相: あい: kun, 手: て: kun
こう	考	Think	kanji	こう:on, かんが:kun
つち	土	Soil	vocabulary	つち, 土: つち: kun
きまる	決まる	To Be Decided	vocabulary	きまる, 決: き: kun
つく	付く	To Be Attached	vocabulary	つく, 付: つ: kun
つう	通	Pass Through	kanji	つう:on, とお:kun, かよ:kun
げん	言	Say	kanji	げん:on, ごん:on, い:kun, こと:kun
とおり	通り	Avenue	vocabulary	とおり, 通: とお: kun
しゅう	終	End	kanji	しゅう:on, おわ:kun, お:kun
いき	息	Breath	vocabulary	いき, 息: いき: kun
みつける	見付ける	To Find	vocabulary	みつける, 見: み: kun, 付: つ: kun
ねんじ	年次	Annual	vocabulary	ねんじ, 年: ねん: on, 次: じ: on
いがい	以外	Other Than	vocabulary	いがい, 以: い: on, 外: がい: on
きょういく	教育	Education	vocabulary	きょういく, 教: きょう: on, 育: いく: on
あらわす	表す	To Express	vocabulary	あらわす, 表: あらわ: kun
ほか	他	Other	vocabulary	ほか, 他: ほか: kun
しゅっけつ	出血	Bleeding	vocabulary	しゅっけつ, 出: しゅっ: on, 血: けつ: on
こうつう	交通	Traffic	vocabulary	こうつう, 交: こう: on, 通: つう: on
ばける	化ける	To Transform	vocabulary	ばける, 化: ば: kun
しかえし	仕返し	Getting Even	vocabulary	しかえし, 仕: し: on, 返: かえ: kun
よてい	予定	Plan	vocabulary	よてい, 予: よ: on, 定: てい: on
ほんもの	本物	Real Thing	vocabulary	ほんもの, 本: ほん: on, 物: もの: kun
べん	便	Convenience	kanji	べん:on, びん:on, たよ:kun
いる	要る	To Need	vocabulary	いる, 要: い: kun
そう	走	Run	kanji	そう:on, はし:kun
Unavailable	自	Self	radical	Unavailable
し	使	Use	kanji	し:on, つか:kun
ろ	路	Road	kanji	ろ:on, じ:kun, みち:kun
み	味	Flavor	kanji	み:on, あじ:kun
やっつ	八つ	Eight Things	vocabulary	やっつ, 八: やっ: kun
おとな	大人	Adult	vocabulary	おとな: exception
じぶん	自分	Oneself	vocabulary	じぶん, 自: じ: on, 分: ぶん: on
Unavailable	元	Origin	radical	Unavailable
Unavailable	spikes	Spikes	radical	Unavailable
かず	数	Number	vocabulary	かず, 数: かず: kun
じんせい	人生	One's Life	vocabulary	じんせい, 人: じん: on, 生: せい: on
たからくじ	宝くじ	Lottery	vocabulary	たからくじ, 宝: たから: kun
そうだん	相談	Consultation	vocabulary	そうだん, 相: そう: on, 談: だん: on
うしなう	失う	To Lose	vocabulary	うしなう, 失: うしな: kun
ねんじゅう	年中	Year Round	vocabulary	ねんじゅう, 年: ねん: on, 中: じゅう: on
よう	用	Task	vocabulary	よう, 用: よう: on
さきまわり	先回り	Arriving Ahead	vocabulary	さきまわり, 先: さき: kun, 回: まわ: kun
たすける	助ける	To Help	vocabulary	たすける, 助: たす: kun
たにん	他人	Another Person	vocabulary	たにん, 他: た: on, 人: にん: on
ち	知	Know	kanji	ち:on, し:kun
しょうにん	商人	Merchant	vocabulary	しょうにん, 商: しょう: on, 人: にん: on
ささえる	支える	To Support	vocabulary	ささえる, 支: ささ: kun
きをつけて	気を付けて	Be Careful	vocabulary	きをつけて, 気: き: on, 付: つ: kun
かっき	活気	Energy	vocabulary	かっき, 活: かっ: on, 気: き: on
ふりょう	不良	Bad	vocabulary	ふりょう, 不: ふ: on, 良: りょう: on
しゅつ	出	Exit	kanji	しゅつ:on, で:kun, だ:kun
さんすう	算数	Arithmetic	vocabulary	さんすう, 算: さん: on, 数: すう: on
けつ	欠	Lack	kanji	けつ:on, か:kun
いぜん	以前	Previously	vocabulary	いぜん, 以: い: on, 前: ぜん: on
きょう	教	Teach	kanji	きょう:on, おし:kun, おそ:kun
まず	先ず	First Of All	vocabulary	まず, 先: まず: kun
みみうち	耳打ち	Whisper In Ear	vocabulary	みみうち, 耳: みみ: kun, 打: う: kun
ちょうし	調子	Condition	vocabulary	ちょうし, 調: ちょう: on, 子: し: on
てんそう	転送	Transfer	vocabulary	てんそう, 転: てん: on, 送: そう: on
あたりまえ	当たり前	Natural	vocabulary	あたりまえ, 当: あ: kun, 前: まえ: kun
しつ	失	Fault	kanji	しつ:on, うしな:kun
うつる	写る	To Be Photographed	vocabulary	うつる, 写: うつ: kun
けっしん	決心	Determination	vocabulary	けっしん, 決: けっ: on, 心: しん: on
かぞえる	数える	To Count	vocabulary	かぞえる, 数: かぞ: kun
みょうじ	名字	Surname	vocabulary	みょうじ, 名: みょう: on, 字: じ: on
ゆう	由	Reason	kanji	ゆう:on, よし:kun, よ:kun
きょうどう	共同	Cooperation	vocabulary	きょうどう, 共: きょう: on, 同: どう: on
ちょっこう	直行	Nonstop	vocabulary	ちょっこう, 直: ちょっ: on, 行: こう: on
じじょう	事情	Circumstances	vocabulary	じじょう, 事: じ: on, 情: じょう: on
ちゅうし	中止	Suspension	vocabulary	ちゅうし, 中: ちゅう: on, 止: し: on
ぶしゅ	部首	Radical	vocabulary	ぶしゅ, 部: ぶ: on, 首: しゅ: on
てん	転	Revolve	kanji	てん:on, ころ:kun
ど	度	Degrees	kanji	ど:on, たく:on, たび:kun
しゅうりょう	終了	End	vocabulary	しゅうりょう, 終: しゅう: on, 了: りょう: on
にがて	苦手	Hard To Deal With	vocabulary	にがて, 苦: にが: kun, 手: て: kun
しょう	勝	Win	kanji	しょう:on, か:kun
みあたる	見当たる	To Be Found	vocabulary	みあたる, 見: み: kun, 当: あ: kun
にんじょう	人情	Humanity	vocabulary	にんじょう, 人: にん: on, 情: じょう: on
こころみる	試みる	To Try	vocabulary	こころみる, 試: こころ: kun
まける	負ける	To Lose	vocabulary	まける, 負: ま: kun
たいりょく	体力	Physical Strength	vocabulary	たいりょく, 体: たい: on, 力: りょく: on
ばあい	場合	Case	vocabulary	ばあい, 場: ば: kun, 合: あ: kun
がいこう	外交	Diplomacy	vocabulary	がいこう, 外: がい: on, 交: こう: on
かく	角	Angle	kanji	かく:on, かど:kun, つの:kun
あける	開ける	To Open	vocabulary	あける, 開: あ: kun
いく	育	Nurture	kanji	いく:on, そだ:kun, はぐく:kun
い	〜位	Rank	vocabulary	い, 位: い: on
べつじん	別人	Different Person	vocabulary	べつじん, 別: べつ: on, 人: じん: on
Unavailable	斗	Ladle	radical	Unavailable
Unavailable	市	City	radical	Unavailable
くう	空	Sky	kanji	くう:on, そら:kun, あ:kun, から:kun, す:kun
きょう	京	Capital	kanji	きょう:on, みやこ:kun
おかね	お金	Money	vocabulary	おかね, 金: かね: kun
かいしゃ	会社	Company	vocabulary	かいしゃ, 会: かい: on, 社: しゃ: on
いますぐ	今すぐ	At Once	vocabulary	いますぐ, 今: いま: kun
くうしゃ	空車	Open Taxi	vocabulary	くうしゃ, 空: くう: on, 車: しゃ: on
