たいした	大した	Great	vocabulary	たいした, 大: たい: on
やっつ	八つ	Eight Things	vocabulary	やっつ, 八: やっ: kun
さげる	下げる	To Lower	vocabulary	さげる, 下: さ: kun
おおきさ	大きさ	Size	vocabulary	おおきさ, 大: おお: kun
おとな	大人	Adult	vocabulary	おとな: exception
かわ	川	River	vocabulary	かわ, 川: かわ: kun
じんこう	人工	Artificial	vocabulary	じんこう, 人: じん: on, 工: こう: on
じょう	上	Above	kanji	じょう:on, うえ:kun, あ:kun, のぼ:kun, うわ:kun, かみ:kun
ひとり	一人	Alone	vocabulary	ひとり, 一: ひと: kun, 人: り: kun
ちから	力	Power	vocabulary	ちから, 力: ちから: kun
あげる	上げる	To Raise	vocabulary	あげる, 上: あ: kun
のぼる	上る	To Climb	vocabulary	のぼる, 上: のぼ: kun
ください	下さい	Please Give Me	vocabulary	ください, 下: くだ: kun
おんな	女	Woman	vocabulary	おんな, 女: おんな: kun
じんこう	人口	Population	vocabulary	じんこう, 人: じん: on, 口: こう: on
Unavailable	一	Ground	radical	Unavailable
Unavailable	ハ	Fins	radical	Unavailable
Unavailable	丶	Drop	radical	Unavailable
Unavailable	七	Seven	radical	Unavailable
Unavailable	丿	Slide	radical	Unavailable
Unavailable	亅	Barb	radical	Unavailable
Unavailable	二	Two	radical	Unavailable
Unavailable	亠	Lid	radical	Unavailable
Unavailable	人	Person	radical	Unavailable
Unavailable	ト	Toe	radical	Unavailable
Unavailable	九	Nine	radical	Unavailable
Unavailable	入	Enter	radical	Unavailable
Unavailable	力	Power	radical	Unavailable
Unavailable	勹	Prison	radical	Unavailable
Unavailable	十	Cross	radical	Unavailable
Unavailable	口	Mouth	radical	Unavailable
Unavailable	大	Big	radical	Unavailable
Unavailable	女	Woman	radical	Unavailable
Unavailable	山	Mountain	radical	Unavailable
Unavailable	川	River	radical	Unavailable
Unavailable	日	Sun	radical	Unavailable
Unavailable	木	Tree	radical	Unavailable
Unavailable	工	Construction	radical	Unavailable
いち	一	One	kanji	いち:on, いつ:on, ひと:kun, かず:nan
に	二	Two	kanji	に:on, ふた:kun
く	九	Nine	kanji	く:on, きゅう:on, ここの:kun
しち	七	Seven	kanji	しち:on, なな:kun, なの:kun
にん	人	Person	kanji	にん:on, じん:on, ひと:kun, と:kun
にゅう	入	Enter	kanji	にゅう:on, はい:kun, い:kun
はち	八	Eight	kanji	はち:on, や:kun, よう:kun
りょく	力	Power	kanji	りょく:on, りき:on, ちから:kun
じゅう	十	Ten	kanji	じゅう:on, とお:kun
さん	三	Three	kanji	さん:on, み:kun
か	下	Below	kanji	か:on, げ:on, した:kun, さ:kun, くだ:kun, お:kun
こう	口	Mouth	kanji	こう:on, く:on, くち:kun
たい	大	Big	kanji	たい:on, だい:on, おお:kun, ひろ:nan
じょ	女	Woman	kanji	じょ:on, おんな:kun, め:kun
さん	山	Mountain	kanji	さん:on, やま:kun
かわ	川	River	kanji	かわ:kun, せん:on
こう	工	Construction	kanji	こう:on, く:on
いち	一	One	vocabulary	いち, 一: いち: on
ひとつ	一つ	One Thing	vocabulary	ひとつ, 一: ひと: kun
なな	七	Seven	vocabulary	なな, 七: なな: kun, &emsp;しち, 七: しち: on
ななつ	七つ	Seven Things	vocabulary	ななつ, 七: なな: kun
きゅう	九	Nine	vocabulary	きゅう, 九: きゅう: on, &emsp;く, 九: く: on
ここのつ	九つ	Nine Things	vocabulary	ここのつ, 九: ここの: kun
に	二	Two	vocabulary	に, 二: に: on
ふたつ	二つ	Two Things	vocabulary	ふたつ, 二: ふた: kun
ひと	人	Person	vocabulary	ひと, 人: ひと: kun
ふたり	二人	Two People	vocabulary	ふたり, 二: ふた: kun, 人: り: kun
はいる	入る	To Enter	vocabulary	はいる, 入: はい: kun
いれる	入れる	To Insert	vocabulary	いれる, 入: い: kun
はち	八	Eight	vocabulary	はち, 八: はち: on
じゅう	十	Ten	vocabulary	じゅう, 十: じゅう: on
さん	三	Three	vocabulary	さん, 三: さん: on
みっつ	三つ	Three Things	vocabulary	みっつ, 三: みっ: kun
さんにん	三人	Three People	vocabulary	さんにん, 三: さん: on, 人: にん: on
うえ	上	Up	vocabulary	うえ, 上: うえ: kun
あがる	上がる	To Rise	vocabulary	あがる, 上: あ: kun
した	下	Down	vocabulary	した, 下: した: kun
さがる	下がる	To Get Lower	vocabulary	さがる, 下: さ: kun
くち	口	Mouth	vocabulary	くち, 口: く: on
いりぐち	入り口	Entrance	vocabulary	いりぐち, 入: い: kun, 口: ぐ: on
おおきい	大きい	Big	vocabulary	おおきい, 大: おお: kun
やま	山	Mountain	vocabulary	やま, 山: やま: kun
ふじさん	ふじ山	Mt Fuji	vocabulary	ふじさん, 山: さん: on
Unavailable	stick	Stick	radical	Unavailable
Unavailable	gun	Gun	radical	Unavailable
Unavailable	leaf	Leaf	radical	Unavailable
つち	土	Soil	vocabulary	つち, 土: つち: kun
Unavailable	千	Thousand	radical	Unavailable
Unavailable	中	Middle	radical	Unavailable
Unavailable	ム	Private	radical	Unavailable
とう	刀	Sword	kanji	とう:on, かたな:kun
すい	水	Water	kanji	すい:on, みず:kun
しゅつ	出	Exit	kanji	しゅつ:on, で:kun, だ:kun
たま	玉	Ball	kanji	たま:kun, ぎょく:on
ちいさい	小さい	Small	vocabulary	ちいさい, 小: ちい: kun
さい	〜才	Years Old	vocabulary	さい, 才: さい: on
むっつ	六つ	Six Things	vocabulary	むっつ, 六: むっ: kun
てんさい	天才	Genius	vocabulary	てんさい, 天: てん: on, 才: さい: on
