たいした	大した	Great	vocabulary	たいした, 大: たい: on	adjective
やっつ	八つ	Eight Things	vocabulary	やっつ, 八: やっ: kun	numeral
さげる	下げる	To Lower	vocabulary	さげる, 下: さ: kun	transitive verb, ichidan verb
おおきさ	大きさ	Size	vocabulary	おおきさ, 大: おお: kun	noun
おとな	大人	Adult	vocabulary	おとな: exception	noun, な adjective, の adjective
かわ	川	River	vocabulary	かわ, 川: かわ: kun	noun
じんこう	人工	Artificial	vocabulary	じんこう, 人: じん: on, 工: こう: on	noun, の adjective
ひとり	一人	Alone	vocabulary	ひとり, 一: ひと: kun, 人: り: kun	noun
ちから	力	Power	vocabulary	ちから, 力: ちから: kun	noun
あげる	上げる	To Raise	vocabulary	あげる, 上: あ: kun	transitive verb, ichidan verb
のぼる	上る	To Climb	vocabulary	のぼる, 上: のぼ: kun	intransitive verb, godan verb
ください	下さい	Please Give Me	vocabulary	ください, 下: くだ: kun	expression
おんな	女	Woman	vocabulary	おんな, 女: おんな: kun	noun
じんこう	人口	Population	vocabulary	じんこう, 人: じん: on, 口: こう: on	noun
いち	一	One	vocabulary	いち, 一: いち: on	numeral
ひとつ	一つ	One Thing	vocabulary	ひとつ, 一: ひと: kun	numeral
なな	七	Seven	vocabulary	なな, 七: なな: kun, &emsp;しち, 七: しち: on	numeral
ななつ	七つ	Seven Things	vocabulary	ななつ, 七: なな: kun	numeral
きゅう	九	Nine	vocabulary	きゅう, 九: きゅう: on, &emsp;く, 九: く: on	numeral
ここのつ	九つ	Nine Things	vocabulary	ここのつ, 九: ここの: kun	numeral
に	二	Two	vocabulary	に, 二: に: on	numeral
ふたつ	二つ	Two Things	vocabulary	ふたつ, 二: ふた: kun	numeral
ひと	人	Person	vocabulary	ひと, 人: ひと: kun	noun
ふたり	二人	Two People	vocabulary	ふたり, 二: ふた: kun, 人: り: kun	noun
はいる	入る	To Enter	vocabulary	はいる, 入: はい: kun	intransitive verb, godan verb
いれる	入れる	To Insert	vocabulary	いれる, 入: い: kun	transitive verb, ichidan verb
はち	八	Eight	vocabulary	はち, 八: はち: on	numeral
じゅう	十	Ten	vocabulary	じゅう, 十: じゅう: on	numeral
さん	三	Three	vocabulary	さん, 三: さん: on	numeral
みっつ	三つ	Three Things	vocabulary	みっつ, 三: みっ: kun	numeral
さんにん	三人	Three People	vocabulary	さんにん, 三: さん: on, 人: にん: on	noun
うえ	上	Up	vocabulary	うえ, 上: うえ: kun	noun, suffix
あがる	上がる	To Rise	vocabulary	あがる, 上: あ: kun	intransitive verb, godan verb
した	下	Down	vocabulary	した, 下: した: kun	noun
さがる	下がる	To Get Lower	vocabulary	さがる, 下: さ: kun	intransitive verb, godan verb
くち	口	Mouth	vocabulary	くち, 口: く: on	noun
いりぐち	入り口	Entrance	vocabulary	いりぐち, 入: い: kun, 口: ぐ: on	noun
おおきい	大きい	Big	vocabulary	おおきい, 大: おお: kun	い adjective
やま	山	Mountain	vocabulary	やま, 山: やま: kun	noun
ふじさん	ふじ山	Mt Fuji	vocabulary	ふじさん, 山: さん: on	proper noun
つち	土	Soil	vocabulary	つち, 土: つち: kun	noun
ちいさい	小さい	Small	vocabulary	ちいさい, 小: ちい: kun	い adjective
さい	〜才	Years Old	vocabulary	さい, 才: さい: on	suffix
むっつ	六つ	Six Things	vocabulary	むっつ, 六: むっ: kun	numeral
てんさい	天才	Genius	vocabulary	てんさい, 天: てん: on, 才: さい: on	noun
ぶん	文	Writing	vocabulary	ぶん, 文: ぶん: on	noun
みず	水	Water	vocabulary	みず, 水: みず: kun	noun
おうじょ	王女	Princess	vocabulary	おうじょ, 王: おう: on, 女: じょ: on	noun, suffix
でる	出る	To Exit	vocabulary	でる, 出: で: kun	intransitive verb, ichidan verb
しがつ	四月	April	vocabulary	しがつ, 四: し: on, 月: がつ: on	noun
ただす	正す	To Correct	vocabulary	ただす, 正: ただ: kun	transitive verb, godan verb
たまねぎ	玉ねぎ	Onion	vocabulary	たまねぎ, 玉: たま: kun	noun
た	田	Rice Field	vocabulary	た, 田: た: kun	noun
はくじん	白人	Caucasian	vocabulary	はくじん, 白: はく: on, 人: じん: on	noun, の adjective
たてる	立てる	To Stand Something Up	vocabulary	たてる, 立: た: kun	transitive verb, ichidan verb
すいちゅう	水中	Underwater	vocabulary	すいちゅう, 水: すい: on, 中: ちゅう: on	noun, の adjective
いっせん	一千	One Thousand	vocabulary	いっせん, 一: いっ: on, 千: せん: on	numeral
ゆうべ	夕べ	Evening	vocabulary	ゆうべ, 夕: ゆう: kun	noun
じょし	女子	Girl	vocabulary	じょし, 女: じょ: on, 子: し: on	noun
また	又	Again	vocabulary	また, 又: また: kun	adverb, prefix
なかなか	中々	Very	vocabulary	なかなか, 中: なか: kun	adverb
いつか	五日	Fifth Day	vocabulary	いつか, 五: いつ: kun, 日: か: kun	noun
てん	天	Heaven	vocabulary	てん, 天: てん: on	noun
へた	下手	Unskillful	vocabulary	へた: exception	noun, な adjective
ひ	日	Sun	vocabulary	ひ, 日: ひ: kun	noun
ひ	火	Fire	vocabulary	ひ, 火: ひ: kun	noun
かざん	火山	Volcano	vocabulary	かざん, 火: か: on, 山: ざん: on	noun
おうじ	王子	Prince	vocabulary	おうじ, 王: おう: on, 子: じ: on	noun, suffix
じょおう	女王	Queen	vocabulary	じょおう, 女: じょ: on, 王: おう: on	noun, suffix
ほん	本	Book	vocabulary	ほん, 本: ほん: on	noun
ただしい	正しい	Correct	vocabulary	ただしい, 正: ただ: kun	い adjective
ひとびと	人々	People	vocabulary	ひとびと, 人: ひと: kun	noun, の adjective
ようか	八日	Eighth Day	vocabulary	ようか, 八: よう: kun, 日: か: kun	noun
とおか	十日	Tenth Day	vocabulary	とおか, 十: とお: kun, 日: か: kun	noun
かたな	刀	Sword	vocabulary	かたな, 刀: かたな: kun	noun
せん	千	Thousand	vocabulary	せん, 千: せん: on	numeral
おんなのこ	女の子	Girl	vocabulary	おんなのこ, 女: おんな: kun, 子: こ: kun	noun
こ	子	Kid	vocabulary	こ, 子: こ: kun	noun, suffix
まる	丸	Circle	vocabulary	まる, 丸: まる: kun	noun
まるい	丸い	Circular	vocabulary	まるい, 丸: まる: kun	い adjective
なか	中	Inside	vocabulary	なか, 中: なか: kun	noun
ごがつ	五月	May	vocabulary	ごがつ, 五: ご: on, 月: がつ: on	noun
ごじゅう	五十	Fifty	vocabulary	ごじゅう, 五: ご: on, 十: じゅう: on	numeral
いつつ	五つ	Five Things	vocabulary	いつつ, 五: いつ: kun	numeral
ご	五	Five	vocabulary	ご, 五: ご: on	numeral
