"かたな",刀,"Sword",vocabulary
"つち",土,"Soil",vocabulary
"せん",千,"Thousand",vocabulary
"いっせん",一千,"One Thousand",vocabulary
"ゆうべ",夕べ,"Evening",vocabulary
"おんなのこ",女の子,"Girl",vocabulary
"こ",子,"Kid",vocabulary
"じょし",女子,"Girl",vocabulary
"ちいさい",小さい,"Small",vocabulary
"また",又,"Again",vocabulary
"まる",丸,"Circle",vocabulary
"まるい",丸い,"Circular",vocabulary
"さい",〜才,"Years Old",vocabulary
"なか",中,"Inside",vocabulary
"なかなか",中々,"Very",vocabulary
"ごがつ",五月,"May",vocabulary
"いつか",五日,"Fifth Day",vocabulary
"ごじゅう",五十,"Fifty",vocabulary
"いつつ",五つ,"Five Things",vocabulary
"ご",五,"Five",vocabulary
"むっつ",六つ,"Six Things",vocabulary
"ろくがつ",六月,"June",vocabulary
"むいか",六日,"Sixth Day",vocabulary
"じゅうろく",十六,"Sixteen",vocabulary
"ろく",六,"Six",vocabulary
"えん",〜円,"Money",vocabulary
"せんえん",千円,"One Thousand Yen",vocabulary
"まるい",円い,"Round",vocabulary
"てん",天,"Heaven",vocabulary
"てんさい",天才,"Genius",vocabulary
"て",手,"Hand",vocabulary
"へた",下手,"Unskillful",vocabulary
"じょうず",上手,"Good At",vocabulary
"ぶん",文,"Writing",vocabulary
"ひ",日,"Sun",vocabulary
"つき",月,"Moon",vocabulary
"じゅうがつ",十月,"October",vocabulary
"いちがつ",一月,"January",vocabulary
"にがつ",二月,"February",vocabulary
"き",木,"Tree",vocabulary
"みず",水,"Water",vocabulary
"ひ",火,"Fire",vocabulary
"かざん",火山,"Volcano",vocabulary
"いぬ",犬,"Dog",vocabulary
"こいぬ",子犬,"Puppy",vocabulary
"おう",王,"King",vocabulary
"おうじ",王子,"Prince",vocabulary
"じょおう",女王,"Queen",vocabulary
"おうじょ",王女,"Princess",vocabulary
"だす",出す,"To Take Out",vocabulary
"でる",出る,"To Exit",vocabulary
"でぐち",出口,"Exit",vocabulary
"みぎ",右,"Right Direction",vocabulary
"よん",四,"Four",vocabulary
"しがつ",四月,"April",vocabulary
"ひだり",左,"Left Direction",vocabulary
"ほん",本,"Book",vocabulary
"にほん",日本,"Japan",vocabulary
"ただしい",正しい,"Correct",vocabulary
"ただす",正す,"To Correct",vocabulary
"たま",玉,"Ball",vocabulary
"たまねぎ",玉ねぎ,"Onion",vocabulary
"た",田,"Rice Field",vocabulary
"しろ",白,"White",vocabulary
"はくじん",白人,"Caucasian",vocabulary
"め",目,"Eye",vocabulary
"めだま",目玉,"Eyeball",vocabulary
"たつ",立つ,"To Stand",vocabulary
"たてる",立てる,"To Stand Something Up",vocabulary
"ふつか",二日,"Second Day",vocabulary
"ひとびと",人々,"People",vocabulary
"いちにち",一日,"One Day",vocabulary
"なのか",七日,"Seventh Day",vocabulary
"みっか",三日,"Third Day",vocabulary
"ここのか",九日,"Ninth Day",vocabulary
"ようか",八日,"Eighth Day",vocabulary
"とおか",十日,"Tenth Day",vocabulary
"すいちゅう",水中,"Underwater",vocabulary
"さゆう",左右,"Left And Right",vocabulary
"にゅうりょく",入力,"Input",vocabulary
